,Configural Model,Metric Model,Partial Metric Model,Scalar Model,Partial Scalar Model
npar,24,21,22,18,20
chisq,4.853,22.739,9.469,76.598,11.56
df,4,7,6,10,8
pvalue,0.303,0.002,0.149,0,0.172
cfi,0.999,0.982,0.996,0.923,0.996
tli,0.997,0.969,0.992,0.908,0.994
aic,6095.099,6106.985,6095.715,6154.844,6093.806
bic,6187.69,6188.001,6180.59,6224.287,6170.964
bic2,6111.553,6121.382,6110.798,6167.184,6107.517
rmsea,0.035,0.113,0.057,0.195,0.05
rmsea.ci.lower,0,0.063,0,0.156,0
rmsea.ci.upper,0.124,0.167,0.123,0.237,0.11
rmsea.pvalue,0.509,0.022,0.365,0,0.435